,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Rich,Poor,Middle Class,Savings,Wallets,Money,Loans,Model Params,Run,AgentID,Wealth
239,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,89,-33
240,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,90,15
241,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,91,-79
242,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,92,18
243,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,93,17
244,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,94,-46
245,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,95,30
246,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,96,-41
247,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,97,-6
248,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,98,11
249,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,99,-71
